"well" "hyvin"
"here" "täällä"
"just" "vain"
"checked" "tarkistettu"
"definitely" "varmasti"
"ha" "ha"
"set" "aseta"
"feed" "ruokkia"
"that" "joka"
"easy" "helppo"
"doesn't" "ei"
"enough" "tarpeeksi"
"today" "tänään"
"sun" "aurinko"
"shining" "loistava"
"outside" "ulkopuolella"
"planting" "istuttaminen"
"poor" "köyhä"
"flowers" "kukat"
"spent" "viettää/kulutettu"
"far" "kaukana"
"too" "liian"
"long" "pitkä"
"their" "heidän"
"pots" "ruukut"
"3" "kolme"
"kindergartners" "esikoululaiset"
"who" "kuka"
"refusing" "kieltää"
"little" "pieni"
"junkies" "huumeriippuvaiset"
"talk" "puhua"
"post" "posti, lähettäminen"
"promise" "lupaus/luvata"
"which" "joka"
"reminded" "muistuttaa"
"were" "olivat"
"about" "noin"
"canning" "säilöntä"
"food" "ruoka"
"at" "tähän"
"coffee" "kahvi"
"break" "tauko"
"becoming" "muutumassa"
"lost" "kadonnut"
"art" "taide"
"any" "mitään"
"under" "alapuolella"
"40" "neljäkymmentä"
"how" "miten"
"those" "nuo"
"us" "meitä"
"fall" "kaatua"
"age" "ikä"
"range" "alue"
"couldn't" "ei voinut"
"would" "tulisi"
"happen" "tapahtua"
"if" "jos"
"world" "maailma"
"ceased" "lakannut"
"exist" "olla olemassa;"
"la" "la"
"day" "päivä"
"after" "jälkeen"
"tomorrow" "huomenna"
"only" "vain"
"being" "olento"
"released" "julkaistu"
"can't" "en voi"
"wait" "odottaa"
"see" "nähdä"
"love" "rakastaa"
"good" "hyvä /hyvältä"
"picture" "kuva"
"lots" "paljon"
"special" "erityinen"
"effects" "vaikutus, seuraus"
"had" "oli"
"preserve" "säilöä"
"our" "meidän"
"somehow" "jotenkin"
"canada" "Kanada"
"need" "tarvita"
"found" "löysi"
"sites" "sivustot"
"including" "mukaan lukien"
"guess" "arvaa"
"wouldn't" "ei halunnut"
"help" "auttaa"
"much" "paljon"
"went" "meni, lähti"
"better" "parempi"
"print" "painotuote"
"out" "ulos"
"keep" "säilytä"
"case" "tapaus"
"tried" "yrittää"
"starting" "aloittaminen"
"blog" "blogi"
"feels" "tuntea"
"right" "oikea"
"then" "sitten"
"read" "lukea"
"strange" "outo"
"most" "suurin"
"more" "enemmän"
"you" "sinä"
"gets" "saa"
"hmm" "hmm"
"sounds" "äänet"
"suspiciously" "epäilyttävästi"
"something" "jotakin"
"else" "joku muu"
"decided" "päättänyt"
"give" "antaa"
"another" "toinen"
"try" "yrittää"
"husband" "aviomies"
"notepad" "muistio"
"best" "paras"
"bookstore" "kirjakauppa"
"western" "läntinen"
"title" "otsikko"
"50s" "50-luku"
"housewife" "kotirouva"
"grinning" "virnistävä"
"desperately" "epätoivoisesti"
"each" "jokainen"
"page" "sivu"
"funny" "hauska"
"new" "uusi"
"curtains" "verhot"
"hurrah" "hurraa, jippii"
"some" "jotkut"
"reason" "syy / järki"
"struck" "isketty."
"absolutely" "ehdottomasti, täysin"
"hilarious" "hulvaton"
"stuck" "jumissa"
"head" "pää"
"ever" "koskaan"
"since" "jälkeen"
"women" "naiset"
"thinking" "ajattelemassa"
"20th" "20. vuosisadan"
"high" "korkea"
"school" "koulu"
"reunion" "uudelleen yhdistämistä"
"weekend" "viikonloppu"
"over" "yli"
"100" "sata"
"coming" "tuleva"
"time" "aika"
"names" "nimet"
"from" "jostakin"
"past" "ohi"
"barely" "tuskin"
"run" "juosta"
"into" "sisään"
"anyone" "kuka tahansa"
"always" "aina"
"pizza" "pizza"
"nights" "yöt"
"takes" "ottaa"
"stress" "stressi"
"am" "olen"
"make" "tehdä"
"dinner" "illallinen"
"look" "katsoa/katse"
"forward" "eteenpäin suuntautunut"
"fact" "fakta"
"many" "monta"
"friends" "ystävät"
"having" "omistava"
"family" "perhe"
"gathering" "kokoontuminen"
"offered" "tarjoiltu"
"all" "kaikki/kaiken kaikkiaan"
"madly" "hullun lailla"
"making" "tekeminen"
"dough" "taikina"
"needs" "tarve, tarvita"
"done" "valmis"
"freezing" "jäätävä"
"cut" "leikkaus"
"vegetables" "vihannekset"
"vegetarian" "kasvissyöjä"
"pizzas" "pitsat"
"grate" "ritilä"
"huge" "valtava"
"amount" "määrä"
"cheese" "juusto"
"cart" "kärry / kuljettaa kärryllä"
"without" "ilman"
"wrecking" "tuhoaminen"
"crusts" "kuoret"
"usual" "tavallinen"
"relaxing" "rentouttava"
"night" "yö"
"hasn't" "ei ole, ei ole"
"relaxed" "rentoutunut"
"saw" "näki"
"independence" "itsenäisyys"
"than" "kuin"
"raising" "kasvattaminen"
"helen" "Helen"
"also" "myös"
"two" "kaksi"
"movies" "elokuvat"
"was" "oli"
"club" "klubi"
"together" "yhdessä"
"forever" "ikuisesti"
"whom" "kuka"
"film" "elokuva"
"scripts" "käsikirjoitukset"
"fun" "hauskaa, huvia"
"writers" "kirjoittajat"
"great" "mahtava"
"database" "tietokanta"
"somewhere" "jossain"
"mistakes" "virheet"
"given" "annettu"
"information" "tieto"
"bound" "sitoutunut"
"links" "linkit"
"library" "kirjasto"
"catalogues" "katalogit"
"getting" "saamassa"
"sneak" "hiipiä"
"peek" "vilkaista"
"lives" "elämät"
"get" "saada"
"your" "sinun"
"imagination" "mielikuvitus"
"paul" "Paavali"
"martin" "Martti"
"promised" "luvattu"
"he" "hän"
"elected" "valittu"
"will" "tehdään/tahdonvoima"
"create" "luoda"
"250" "kaksisataaviisikymmentä"
"000" "nolla"
"affordable" "edullinen"
"child" "lapsi"
"care" "huolenpito, välittäminen"
"spaces" "tilat"
"think" "ajatella"
"around" "ympärillä"
"want" "haluta"
"working" "työskentelevä"
"easier" "helpompi"
"families" "perheet"
"space" "avaruus"
"helpful" "avulias"
"spend" "viettää/käyttää"
"children" "lapset"
"flexible" "joustava"
"arrangements" "järjestelyt"
"instead" "sen sijaan"
"leave" "lähteä"
"made" "tehnyt"
"mandatory" "pakollinen"
"employers" "työnantajia"
"allow" "sallia"
"five" "viisi"
"years" "vuodet"
"part" "osa"
"worked" "työskennellyt"
"least" "vähiten"
"50" "50"
"hold" "pitää käsissä/pitää kiinni"
"jobs" "työpaikat"
"appeal" "vetoomus"
"moms" "äitinsä"
"impossible" "mahdoton"
"find" "löytää"
"pondering" "mietiskelevä"
"quitting" "lopettaminen"
"job" "työ"
"seems" "vaikuttaa"
"question" "kysymys"
"no" "ei"
"haven't" "eivät ole"
"seen" "nähnyt"
"apparently" "ilmeisesti"
"unless" "ellei"
"changed" "muuttunut"
"deal" "sopimus/tehdä kauppa"
"things" "asiat"
"important" "tärkeä"
"longer" "pidempi"
"anyway" "joka tapauksessa"
"glad" "iloinen"
"tired" "väsynyt"
"4" "numero;"
"days" "päivät"
"off" "pois"
"snooze" "torkkua"
"bit" "pala"
"among" "joukossa"
"note" "huomio"
"minute" "minuutti, pikkuruinen"
"shorter" "lyhyempi"
"5th" "viides"
"three" "kolme"
"minutes" "pöytäkirjat, minuutit"
"running" "juokseva"
"walking" "kävely"
"harder" "vaikeampaa"
"previous" "aiempi"
"walk" "kävellä"
"ratio" "järkevä"
"feeling" "tunnusten"
"until" "asti"
"4th" "neljäs"
"repetition" "toistaminen, toisto"
"difficult" "vaikea"
"struggled" "taisteli"
"through" "läpi"
"noticed" "huomattu/huomaamaton"
"odd" "outo"
"sensation" "tuntemus"
"while" "aikana"
"happy" "onnellinen"
"take" "ottaa"
"breaks" "tauot"
"moment" "hetki"
"started" "aloitettu"
"again" "uudelleen"
"legs" "jalat"
"felt" "tuntui"
"there's" "siellä on"
"clever" "taitava"
"scientific" "tieteellinen"
"name" "nimi"
"phenomenon" "ilmiö"
"however" "kuitenkin"
"pressing" "kiireellinen"
"whether" "olipa"
"increase" "kasvu"
"total" "kokonainen"
"or" "tai"
"decrease" "vähentävä"
"schedule" "aikataulu"
"following" "seuraten"
"says" "sanoa"
"they're" "he ovat"
"experts" "asiantuntijat"
"expensive" "kallis"
"shoes" "kengät"
"didn't" "en tehnyt"
"exactly" "täsmälleen, aivan"
"feel" "tuntea"
"call" "kutsua"
"bad" "huono"
"either" "jompikumpi/joko tai"
"third" "kolmas"
"million" "miljoona"
"bucks" "dollaria"
"fourth" "neljäs"
"7th" "seitsemäs"
"lungs" "keuhkot"
"inside" "sisällä"
"probably" "todennäköisesti"
"8" "kahdeksan"
"truth" "totuus"
"told" "kertoi"
"regret" "katumus"
"saying" "sanominen"
"wednesday" "keskiviikko"
"jon" "pätkä"
"health" "terveys"
"kick" "potkaista"
"he's" "hän on"
"join" "liittyä"
"might" "voisi"
"slow" "hidas"
"him" "hänet"
"jogger" "juoksija (suom. jogger)"
"rather" "mieluummin"
"runner" "juoksija"
"massive" "massiivinen, valtava"
"crap" "paska"
"chocolate" "suklaa"
"syrup" "siirappi"
"ice" "jää"
"cream" "kerma"
"crisps" "sipsit"
"eating" "syömässä"
"couple" "pari"
"can" "tölkki /voi (depending on context)"
"assure" "varmistaa"
"wasn't" "ei ollut"
"hard" "kova"
"pretty" "kaunis"
"painful" "tuskallinen"
"start" "aloittaa"
"die" "kuolla"
"point" "piste"
"myself" "itseni"
"5" "viisi"
"even" "edes"
"sorts" "lajikkeet / lajit"
"excuses" "tekosyitä"
"figured" "ajatella"
"midday" "keskipäivä"
"park" "puisto"
"uneven" "epätasainen"
"ground" "maa/maaperä"
"vaguely" "epämääräisesti"
"hung" "ripustettu"
"end" "loppu"
"thought" "ajatus/ajatella"
"writing" "kirjoittaminen"
"down" "alas"
"wussed" "pelkotila"
"6th" "kuudes"
"reward" "palkkio"
"hot" "kuuma"
"bath" "kylpy"
"between" "välissä"
"periods" "jaksot"
"did" "teki"
"2" "kaksi"
"repeated" "toistuva"
"6" "6"
"times" "kertaa"
"first" "ensimmäinen"
"middle" "keskikohta"
"fine" "hieno"
"top" "katto"
"considered" "pidetty/arvostettu"
"doing" "tekeminen"
"finished" "valmis"
"further" "edelleen"
"away" "pois / poissa"
"house" "koti"
"expected" "odotettu, odottaa"
"real" "todellinen"
"struggle" "taistelu, kamppailu"
"literally" "kirjaimellisesti"
"forcing" "pakottaminen"
"put" "laittaa"
"foot" "jalka"
"front" "etu / rintama"
"other" "muut"
"knowledge" "tieto"
"thing" "asia"
"kept" "pidettiin"
"finish" "loppu, maali"
"upsetting" "järkyttävä"
"sidewalks" "jalkakäytävät"
"paranoid" "vainoharhainen"
"fantasy" "fantasia"
"runners" "juoksijat"
"themselves" "itse"
"critiquing" "kritisoimassa"
"sprint" "spurtata, rynnätä"
"helps" "auttaa"
"fast" "nopeasti"
"means" "merkitsee"
"prefer" "pitää parempana"
"speed" "nopeus"
"jog" "hölkätä"
"genuinely" "vilpittömästi"
"laugh" "nauraa/nauru"
"saturday" "lauantai"
"same" "sama"
"edinburgh" "Edinburgh"
"meantime" "välillä"
"knee" "polvi"
"fantastic" "upea, fantastinen"
"acl" "anterior cruciate ligament"
"surgery" "leikkaus"
"muscle" "lihas"
"tone" "sävy"
"meant" "tarkoittaa, tarkoittanut"
"kneecap" "polvilumpio"
"tracking" "seurata"
"properly" "asianmukaisesti"
"led" "johti"
"clicking" "napsauttaminen"
"aching" "kivulias"
"especially" "erityisesti"
"steps" "askeleet"
"runs" "aUrat"
"difference" "ero"
"way" "tapa"
"stairs" "portaat"
"almost" "melkein"
"normal" "normaali"
"granted" "ottaen huomioon"
"recommended" "suositella"
"10" "kymmenen"
"training" "koulutus"
"according" "mukaan"
"use" "käyttö"
"admit" "myöntää"
"came" "tuli"
"broken" "rikki"
"sweat" "hiki"
"overall" "kokonais-"
"seem" "vaikuttaa"
"definite" "varma/selvä"
"advantages" "etuja"
"both" "molemmat"
"initial" "alkuperäinen"
"plan" "suunnitelma/harkita"
"basic" "perus"
"10k" "kymppitonni"
"tester" "testeri"
"ran" "juoksi"
"1" "yksi"
"walked" "käveli"
"reasonably" "kohtuullisesti"
"scary" "pelottava"
"ready" "valmis"
"move" "liikuta"
"onto" "päälle"
"proper" "asianmukainen"
"whoever" "kellään"
"reads" "lukee"
"seriously" "vakavasti"
"believe" "uskoa"
"understand" "ymmärtää"
"few" "muutama"
"weeks" "viikot"
"full" "täysi"
"plenty" "runsaus, paljon"
"hours" "tunti/tunteina"
"sleep" "uni/nukkuminen"
"busy" "kiireinen"
"must" "musta"
"precious" "kallisarvoinen"
"reading" "lukeminen"
"watching" "katsova"
"tv" "tv"
"shattered" "särkynyt"
"fitting" "sopiva"
"half" "puolikas"
"hour" "tunti"
"technically" "teknisesti ottaen"
"feasible" "mahdollinen"
"incredibly" "uskomattoman"
"attractive" "viehättävä"
"option" "vaihtoehto"
"afraid" "peloissaan"
"cycle" "kiertää"
"recently" "äskettäin"
"reasons" "syitä"
"october" "lokakuu"
"cycling" "pyöräilevä"
"hurt" "satuttaa"
"ok" "ok"
"caused" "aiheuttanut"
"react" "reagoida"
"badly" "huonosti"
"anymore" "enää"
"chain" "ketju"
"rusty" "ruosteinen"
"reaction" "reaktio"
"closer" "lähempänä/lähempänä kuin"
"inspection" "tarkastus"
"replace" "korvata"
"braved" "rohkea"
"worried" "huolestunut"
"particularly" "erityisesti"
"hardest" "vaikein"
"gears" "vaihteet"
"excellent" "erinomainen"
"opportunity" "mahdollisuus"
"left" "jäljellä"
"leg" "jalka"
"estimate" "arvio"
"80" "kahdeksankymmentä"
"strong" "vahva"
"shall" "tulee"
"reacts" "reagoi"
"amazed" "hämmästynyt"
"lazy" "laiska"
"once" "kerran"
"managed" "hoidettu"
"improve" "parantaa"
"7" "seitsemän"
"77" "77"
"subject" "aihe"
"line" "rivi"
"makes" "tekee"
"sense" "järki/aistia"
"trying" "yrittäminen"
"reckon" "arvioida / uskoa"
"fraction" "murto-osa"
"mean" "tarkoittaa."
"mention" "mainita"
"someone" "joku"
"stopped" "pysähtyi"
"ask" "pyytää"
"directions" "ohjeet"
"wrote" "kirjoitti"
"absurdity" "absurduus"
"present" "läsnä oleva"
"everyday" "jokapäiväinen"
"society" "yhteiskunta"
"towards" "kohti"
"elderly" "iäkäs"
"man" "mies"
"carrying" "kantaminen"
"his" "hänen (miehen)"
"dog" "koira"
"asked" "kysytty"
"jogging" "lenkkeillen"
"course" "kurssi"
"example" "esimerkki"
"fishing" "kalastus"
"direction" "suunta"
"tell" "kertoa"
"leisurely" "rennosti"
"stroll" "kävellä hitaasti ja rennosti"
"along" "mukana"
"sidewalk" "katukäytävä"
"brat" "kakara"
"kicked" "potkaista"
"football" "jalkapallo"
"appreciated" "arvostettu"
"called" "kutsuttu"
"prick" "tyhmyr"
"hope" "toivo"
"falls" "putoukset"
"tree" "puu"
"ankle" "nilkka"
"places" "paikat"
"comments" "(internet) kommentit"
"heartless" "sydämetön"
"hating" "vihaaminen"
"bitch" "narttu"
"please" "ole hyvä"
"free" "vapaa"
"these" "nämä"
"ahh" "ah"
"word" "sana"
"verb" "verbi"
"pretended" "teeskentelevä"
"implied" "implikoitu"
"adjective" "sijamuoto"
"ahhhh" "ah_ti"
"said" "sanoa"
"self" "itse"
"stop" "lopettaa"
"adhering" "pitäytyen"
"compared" "verrattu"
"complain" "valittaa"
"cramps" "kramppi"
"sides" "puolet"
"main" "pää-"
"problem" "ongelma"
"chest" "arkku"
"hmmm" "hmm"
"final" "lopullinen"
"you're" "olet"
"20" "kaksikymmentä"
"shouldn't" "ei saisi"
"achieve" "saavuttaa"
"totally" "täysin"
"inactive" "passiivinen"
"akin" "samankaltainen"
"respects" "kunnioitus"
"birth" "syntymä"
"terrible" "kamala"
"imagine" "kuvitella"
"curse" "kirous, kirosana"
"bastard" "roisto"
"place" "paikka"
"yourself" "itsesi"
"shower" "suihku"
"sit" "istua"
"analogy" "analogia"
"ended" "päättynyt"
"paragraph" "kappale"
"weren't" "eivät olleet"
"favors" "suosio"
"nearly" "melkein"
"curious" "utelias"
"combination" "yhdistelmä"
"factors" "tekijät"
"illness" "sairaus"
"mania" "mania"
"heavy" "raskas"
"sloth" "laiskimus"
"bother" "harmittaa"
"nonsense" "hölynpölyä"
"back" "takaisin"
"answer" "vastaa"
"before" "ennen/ennen kuin/jonkin takia"
"second" "toinen"
"looked" "katsonut"
"faces" "kasvot"
"jumping" "hyppääminen"
"fence" "aita"
"door" "ovi"
"remembered" "muistaa"
"locked" "lukittu"
"safety" "turvallisuus"
"order" "järjestys"
"i'd" "olin"
"round" "pyöreä/kierros"
"corner" "kulma"
"road" "tie"
"logistics" "logistiikka"
"later" "myöhemmin"
"happened" "tapahtunut"
"suddenly" "yhtäkkiä"
"shortchanged" "pettyneet"
"watch" "kello"
"wrong" "väärin"
"knife" "veitsi"
"butter" "voi"
"mmmm" "mmm"
"near" "lähellä"
"crash" "törmäys"
"early" "aikaisin"
"eat" "syödä"
"toasted" "paahtuneena"
"guacamole" "guacamole"
"sandwich" "voileipä"
"lunch" "lounas/lounastaa"
"ladies" "naiset"
"canteen" "ruokala"
"served" "tarjoiltu"
"cold" "kylmä"
"pink" "vaaleanpunainen"
"wafers" "ohutkeksejä"
"tea" "tee"
"room" "huone"
"dropped" "pudottaa"
"face" "kasvot"
"earth" "maa"
"holiday" "loma"
"rude" "töykeä"
"exercise" "harjoitus, liikunta"
"soon" "pian"
"jetlag" "aikaeron vaikutus, aikavyöhykevuorovaikutus"
"saddle" "satula"
"moved" "siirretty"
"community" "yhteisö"
"fit" "sopia (esim. vaatteet)/kunto"
"side" "sivu"
"hearts" "sydämet"
"overflow" "tulviminen"
"happiness" "onnellisuus"
"matters" "asioita"
"sorry" "pahoitteleva"
"doubted" "epäilty"
"maybe" "ehkä"
"beside" "vieressä"
"person" "henkilö"
"happier" "onnellisempi"
"cue" "vihje"
"songs" "laulut"
"play" "leikkiä, soittaa"
"fuck" "vittu"
"truly" "todella, todellakin"
"baby" "vauva"
"bestfriend" "paras ystävä"
"paid" "maksettu"
"visit" "vieraileminen"
"thanks" "kiitokset"
"dreams" "unelmat"
"come" "tulla"
"deserve" "ansaita"
"woman" "nainen"
"sang" "laulaa, laulaa sävel"
"words" "sanat"
"life" "elämä"
"complete" "täydellinen"
"such" "sellainen"
"wonder" "ihmetellä/ihme"
"knew" "tiesi"
"turned" "kääntyi"
"showed" "näytti"
"dreaming" "unelma, uneksia"
"believed" "uskottiin"
"them" "he/ne"
"worth" "arvoinen"
"pain" "kipu"
"throw" "heittää"
"worst" "pahin"
"shit" "paska"
"show" "shown/esitys/näyttää"
"finger" "sormi"
"brought" "tuoda"
"showing" "esittäminen"
"colors" "värit"
"blind" "sokea, sokeuttaa"
"faith" "usko"
"whatever" "mikä tahansa"
"www" "verkkosivusto"
"com" "com"
"recruit" "värvätä"
"=" "on yhtä suuri kuin"
"workplace" "työpaikka"
"gone" "kadonnut"
"blank" "tyhjä (Finnish translation of the word "
"survived" "selvitä hengissä, selviytyä"
"24" "24"
"live" "elää"
"3rd" "kolmas (lyhenne)"
"country" "maa"
"chill" "rauhallinen rentoutuminen, rentoutua"
"folks" "väki / vanhemmat"
"hang" "roikkua/riippua"
"gonna" "tulla"
"hopefully" "toivottavasti"
"paper" "paperi"
"famine" "nälänhätä"
"church" "kirkko"
"won't" "en aio"
"gives" "antaa"
"snow" "lumi/lumisade"
"signed" "allekirjoittanut"
"message" "viesti"
"board" "lautapeli"
"knows" "tietää"
"sign" "merkki / allekirjoittaa"
"project" "projekti, suunnitella"
"turn" "kääntyä"
"planning" "suunnittelu"
"ralph" "Ralph"
"wanted" "halunnut"
"de" "de"
"throne" "valtaistuin"
"bush" "puska"
"stay" "pysyä"
"let" "päästää"
"boy" "poika"
"kerry" "Kerry"
"you've" "sinulla on"
"playing" "pelaaminen"
"holla" "huuto"
"rapper" "räppäri"
"tennis" "tennispeli"
"chris" "Kristofer"
"movie" "elokuva"
"doubt" "epäilys"
"practice" "harjoittelu/harjoittaminen"
"college" "korkeakoulu, ammattikoulu"
"humor" "huumori"
"guide" "opas"
"picking" "poimiva, valitseva"
"aim" "tähdätä"
"screen" "näyttö"
"sending" "lähettäminen"
"e" "ee"
"mails" "sähköpostit"
"chatting" "jutteleminen"
"essential" "välttämätön"
"using" "käyttämällä"
"internet" "internet"
"tells" "kertoo"
"suggestions" "ehdotukset"
"pick" "valita"
"awesome" "mahtava;"
"af" "kautta"
"acronyms" "lyhenteet"
"american" "amerikkalainen"
"eagle" "kotka"
"abercrombie" "Abercrombie"
"fitch" "pyrstö"
"rich" "rikas"
"parents" "vanhemmat"
"therefore" "siksi, sen takia"
"wear" "pitää yllään"
"420" "pilssin päivä (slang for April 20th)"
"putting" "laittaminen"
"rebellious" "kapinallinen"
"cool" "siisti/hieno"
"drugs" "huumeet"
"mess" "sotku"
"girls" "tytöt"
"flock" "kerääntyä"
"69" "69"
"shows" "näyttää"
"obviously" "ilmeisesti"
"sex" "seksi"
"others" "muut"
"666" "luku/lusiferin merkki"
"scare" "pelästyttää"
"mighty" "mahtava"
"evil" "paha"
"fallback" "hätävara"
"fear" "pelko"
"chic" "tyylikäs"
"guys" "kaverit"
"attracted" "houkutteleva"
"boyfriend" "poikaystävä"
"likes" "tykkää"
"computer" "tietokone"
"collect" "kerätä"
"star" "tähti"
"wars" "sodat"
"toys" "lelut"
"cute" "söpö/ihananäköinen"
"sexy" "seksikäs"
"crazy" "hullu"
"girl" "tyttö"
"wants" "haluavat"
"guy" "kaveri"
"meet" "tavata"
"online" "verkossa"
"uglier" "rumempi"
"chelsea" "chelsea"
"clinton" "Clinton"
"you'll" "sinä tulet"
"across" "poikki"
"brittany" "Brittany (tyttönimi)"
"spears" "keihäät"
"gurl" "tyttö"
"type" "tyyppi"
"sound" "ääni"
"nice" "mukava/hieno"
"target" "tavoite"
"weird" "kummallinen"
"sexual" "seksuaalinen"
"predators" "petoeläimet"
"2003" "2003"
"pony" "poni"
"horny" "kiimainen"
"predator" "petoeläin"
"young" "nuori"
"lure" "houkutella"
"local" "paikallinen"
"mall" "ostoskeskus/malli"
"babe" "pikkutytöllä"
"finishing" "loppuunsaattaminen"
"wow" "wau"
"hate" "vihata"
"pic" "kuva"
"squad" "ryhmä"
"cd" "cd [ei suomennosta]"
"listen" "kuunnella"
"number" "numero"
"9" "yhdeksän"
"55" "55"
"teacher" "opettaja"
"physics" "fysiikka"
"tough" "kova/vaikea"
"tryouts" "kokeilut"
"pounded" "jauhaa, jynssätä"
"looks" "ulkonäkö/näyttämisen"
"team" "joukkue"
"pope" "paavi"
"she" "hän"
"accurate" "tarkka"
"account" "tilin"
"falling" "putoamassa"
"sky" "taivas"
"chemistry" "kemia"
"pages" "sivut"
"$" "dollari"
"pocket" "tasku"
"valentines" "ystävänpäivä"
"violent" "väkivaltainen"
"weapons" "aseet"
"customary" "tapana oleva"
"gift" "lahja"
"complaining" "valittaminen (complaining)"
"count" "laskea"
"stupid" "tyhmä"
"research" "tutkimus"
"chance" "mahdollisuus"
"nothing" "ei mitään"
"oc" "silmä"
"tests" "kokeet"
"retarded" "hidastunut"
"projects" "projektit"
"importantly" "tärkeästi"
"force" "voima"
"travel" "matkustaa"
"include" "sisältää"
"steal" "varastaa"
"candy" "karkki"
"bars" "ristikko"
"languages" "kielet"
"english" "englantilainen"
"perfect" "täydellinen"
"score" "pistemäärä"
"splinter" "tikku"
"cell" "solu"
"mt" "MT"
"gangs" "jengit"
"war" "sota"
"fight" "taistelu"
"clubs" "kerhot"
"saints" "pyhimykset"
"coldplay" "Coldplay"
"except" "paitsi/mutta"
"chipped" "halkiainepaikkaus"
"tooth" "hammas"
"math" "matematiikka"
"chen" "pieni"
"president" "presidentti"
"taiwan" "Taiwan"
"faked" "väärentää"
"assassination" "salamurha"
"win" "voitto"
"election" "vaalit"
"dedication" "omistautuminen"
"took" "vei"
"bullet" "luoti"
"support" "tuki"
"daniel" "Daniel"
"alot" "paljon"
"basically" "periaatteessa"
"youth" "nuoruus"
"liked" "tykkäsi"
"handled" "käsitelty"
"september" "syyskuu"
"11th" "yhdestoista"
"economy" "talous"
"whole" "kokonainen"
"iraq" "Irak"
"surprised" "yllättynyt"
"happens" "tapahtuu"
"bin" "jäteastia"
"laden" "kuormitettu"
"seal" "hylje"
"uphill" "ylämäkeen"
"battle" "taistelu"
"hand" "käsi"
"cowboy" "cowboy"
"comes" "tulee"
"foreign" "vieras"
"policy" "politiikka"
"due" "johtuva / odotettu"
"nerve" "hermo"
"finally" "lopulta"
"camping" "leirintä"
"gun" "ase"
"quite" "melko"
"shot" "laukaus"
"spanish" "espanjalainen"
"posting" "postittaminen, postaus"
"rampage" "mellakointi"
"costume" "puku"
"celebrate" "juhlia"
"may" "voisi"
"brother" "veli"
"hacked" "hakattu"
"richard" "Riku"
"dean" "dekaani"
"stuff" "tavara, asia"
"bogged" "jumiin jäänyt"
"h" "h"
"w" "w"
"mr" "herra"
"ugh" "yäk"
