"hey" "hei"
"work" "työskennellä"
"play" "leikkiä, soittaa"
"talkin" "puhuva"
"business" "liiketoiminta, yritys"
"aiming" "tähtäävä"
"weapon" "ase, aseistus"
"hit" "osuma"
"list" "lista"
"felt" "tuntui"
"compression" "puristus, puristaminen"
"haunt" "ahdistava"
"wont" "taipunut"
"of" "-sta/-stä"
"words" "sanat"
"when" "kun"
"write" "kirjoittaa"
"youll" "sinä tulet"
"singing" "laulaminen"
"song" "laulu"
"thats" "se on"
"okay" "ok"
"sing" "laulaa"
"along" "mukana"
"copy" "kopioida"
"everything" "kaikki"
"do" "tehdä"
"if" "jos"
"wasnt" "ei ollut"
"pick" "valita"
"stupid" "tyhmä"
"horse" "hevonen"
"lost" "kadonnut"
"that" "joka"
"ran" "juoksi"
"out" "ulos"
"track" "rata"
"cash" "käteinen"
"back" "takaisin"
"gotta" "minun täytyy"
"leave" "lähteä"
"derby" "rullaluistelukilpailu"
"why" "miksi"
"am" "olen"
"getting" "saamassa"
"lucky" "onnekas"
"have" "on"
"any" "mitään"
"win" "voitto"
"he" "hän"
"plane" "lentokone"
"is" "on"
"different" "erilainen"
"has" "on"
"changed" "muuttunut"
"always" "aina"
"something" "jotakin"
"new" "uusi"
"nothings" "ei mitään"
"nothing" "ei mitään"
"s" "S-kirjain"
"still" "vielä"
"need" "tarvita"
"bout" "matsi"
"boof" "ampua"
"smokin" "savua"
"somethin" "jotakin"
"ro-ro-roll" "kierrepotkaista"
"g" "G-kirjain"
"hard" "kova"
"fall" "kaatua"
"taking" "ottaminen"
"shots" "kuvat / shottilasit (depending on context)"
"dark" "tumma /synkkä"
"call" "kutsua"
"straight" "suora"
"sawed-off" "sahakatkoinen"
"zip" "vetää /zipata"
"trying" "yrittäminen"
"making" "tekeminen"
"good" "hyvä /hyvältä"
"weed" "marihuana /weed"
"might" "voisi"
"addicted" "riippuvainen"
"monster" "peto /hirviö"
"blowin" "puhaltamalla"
"clouds" "pilvet"
"loud" "kovaääninen /kovaa"
"can" "tölkki /voi (depending on context)"
"t" "ja"
"see" "nähdä"
"m" "minä"
"appear" "ilmestyä /näyttää"
"throw" "heittää"
"into" "sisään"
"lake" "järvi"
"quit" "lopettaa"
"caring" "välittäminen"
"burnt" "palanut"
"many" "monta"
"times" "kertaa"
"tree" "puu"
"fire" "tuli"
"raining" "sataa"
"screams" "kirkaisut"
"ohhhh" "ohhhh"
"shut" "sulje"
"wheres" "missä"
"please" "ole hyvä"
"own" "oma"
"ringtone" "soittoääni"
"only" "vain"
"know" "tiedän"
"answer" "vastaa"
"27" "27"
"missed" "ohitettu"
"calls" "puhelut"
"lightin" "valaise"
"cell" "solu"
"sending" "lähettäminen"
"sayin" "sanominen"
"home" "koti"
"clothes" "vaatteet"
"cold" "kylmä"
"45" "45"
"group" "ryhmä"
"texts" "viestit"
"50" "50"
"dms" "yksityisviestit"
"send" "lähettää"
"askin" "kysyminen"
"seen" "nähnyt"
"them" "he/ne"
"pushin" "työntämässä"
"deadline" "deadline"
"bedtime" "nukkuma-aika"
"crack" "halkeama"
"smile" "hymyillä"
"cause" "syy"
"somethings" "jotakin"
"let" "päästää"
"thing" "asia"
"or" "tai"
"maybe" "ehkä"
"drunk" "humalassa"
"as" "kuin"
"customize" "mukauttaa"
"vibrate" "värähtää"
"myself" "itseni"
"falling" "putoamassa"
"broken" "rikki"
"glass" "lasi"
"29" "29"
"basement" "kellarikerros"
"really" "todella"
"used" "käytetty"
"called" "kutsuttu"
"makes" "tekee"
"sick" "sairas"
"crazy" "hullu"
"friends" "ystävät"
"doesnt" "ei"
"phase" "vaihe"
"windows" "ikkunat"
"ridin" "ratsastaminen"
"suv" "maastoauto"
"spillin" "kaataminen"
"champagne" "samppanja"
"screen" "näyttö"
"screamin" "huutaminen"
"wheels" "pyörät"
"are" "ovat"
"screechin" "kirkuva"
"hundred" "sata"
"miles" "mailia"
"per" "kohti"
"hour" "tunti"
"wild" "villi"
"camera" "kamera"
"shower" "suihku"
"ring-ring" "soittoäänen ääni"
"gonna" "tulla"
"ring" "rengas"
"sounds" "äänet"
"turn" "kääntyä"
"kkb" "kovempi kuin betoni"
"aac" "asiat alkoivat kääntymään"
"be" "olla"
"anything" "mitään"
"barking" "haukkuminen"
"dog" "koira"
"revved" "kiihdyttää"
"engine" "moottori"
"whatever" "mikä tahansa"
"catches" "vangita"
"attention" "huomio"
"choice" "valinta"
"would" "tulisi"
"voice" "ääni"
"where" "missä"
"from" "jostakin"
"kisses" "suudelmat"
"lovestruck" "rakastunut"
"piece" "pala"
"missin" "ikävä"
"tired" "väsynyt"
"wishin" "toivoa"
"later" "myöhemmin"
"difference" "ero"
"sent" "lähettää"
"says" "sanoa"
"lonely" "yksinäinen"
"week" "viikko"
"next" "seuraava"
"year" "vuosi"
"kiss" "suudella"
"left" "jäljellä"
"cheek" "poski"
"bestie" "paras ystävä"
"ashley" "nimi (englanninkielinen)"
"run" "juosta"
"shit" "paska"
"an" "yksi"
"athlete" "urheilija"
"danger" "vaara"
"wouldnt" "ei halua / ei tahtoisi"
"save" "pelastaa"
"front" "etu / rintama"
"rudolph" "Petteri Punakuono (Finnish translation of the name)"
"reindeer" "poro"
"reason" "syy / järki"
"came" "tuli"
"lie" "valhe"
"honest" "rehellinen"
"yourself" "itsesi"
"anyone" "kuka tahansa"
"else" "joku muu"
"come" "tulla"
"away" "pois / poissa"
"hide" "piilottaa / piiloutua"
"somewhere" "jossain"
"knows" "tietää"
"buried" "haudattu"
"sound" "ääni"
"crime" "rikos"
"outta" "ulos"
"wait" "odottaa"
"charli" "Charli (possible reference to singer Charli XCX)"
"chorus" "kertosäe"
"staring" "tuijottaa"
"looking" "katsominen"
"veneer" "pintakerros"
"end" "loppu"
"night" "yö"
"covers" "peitot"
"whisper" "kuiskaaminen"
"ear" "korva"
"personal" "henkilökohtainen"
"fine" "hieno"
"bloodstains" "veritahrat"
"bathtub" "kylpyamme"
"vomit" "oksennus"
"popov" "Popov"
"smell" "haju"
"door" "ovi"
"three" "kolme"
"four" "neljä"
"loko" "Loko"
"through" "läpi"
"every" "jokainen"
"weekend" "viikonloppu"
"steven" "Steven"
"shy" "ujo"
"about" "noin"
"their" "heidän"
"teeth" "hampaat"
"walking" "kävely"
"catch" "saada kiinni"
"leaf" "lehti"
"mouth" "suu"
"refuse" "kieltäytyminen"
"tear" "repeämä/repiminen"
"table" "pöytä"
"cup" "kuppi"
"notice" "ilmoitus/huomaaminen"
"looks" "ulkonäkö/näyttämisen"
"sitting" "istuminen"
"show" "shown/esitys/näyttää"
"theyre" "he ovat"
"leaving" "lähtö"
"bags" "laukut"
"unpacked" "purkaa/matkustamaton"
"major" "suuri/tärkeä"
"promise" "lupaus/luvata"
"wakin" "herätys-"
"five" "viisi"
"morning" "aamu"
"throwin" "heittäminen"
"oven" "ovi"
"sleep" "uni/nukkuminen"
"cousin" "serkku"
"roll" "kääriä/rimpiä"
"spend" "viettää/käyttää"
"stolen" "varastettu"
"already" "jo"
"broke" "rikkinäinen/mennyt"
"7" "seitsemän"
"goddamn" "perkele"
"swear" "kiroilla"
"done" "valmis"
"plan" "suunnitelma/harkita"
"hold" "pitää käsissä/pitää kiinni"
"first" "ensimmäinen"
"ten" "kymmenen"
"tries" "yrittää/yritykset"
"hurtin" "kipeä"
"eyes" "silmät"
"batshit" "hullu"
"check" "tarkistaa/tarkistus"
"spent" "viettää/kulutettu"
"feelin" "tuntea"
"dentist" "hammaslääkäri"
"ya" "sinä/sinulle"
"youve" "sinulla on"
"giving" "antaa/antaminen"
"heart" "sydän"
"drive" "ajaa/ajo"
"strength" "voima/vahvuus"
"embrace" "halata/halaus"
"lets" "antaa/jättää"
"bay" "lahdenpohja"
"bay-bay-bay" "hyvästi"
"outside" "ulkopuolella"
"bright" "kirkas"
"how" "miten"
"waiting" "odottaa/odotus"
"needed" "tarvita/tarpeellinen"
"than" "kuin"
"will" "tehdään/tahdonvoima"
"dishes" "astiat"
"piling" "kasaaminen"
"least" "vähiten"
"food" "ruoka"
"pilin" "pilli"
"bug" "ötökkä"
"bein" "olemassa"
"anytime" "milloin tahansa"
"running" "juokseva"
"accounted" "ottaa huomioon"
"counter" "laskuri"
"full" "täysi"
"bounds" "rajoitukset"
"responsible" "vastuullinen"
"counted" "laskettu"
"riding" "ratsastaminen"
"store" "kauppa"
"gec" "lämpöä vaihtava laite"
"runnin" "juokseminen"
"remember" "muistaa"
"stronger" "vahvempi"
"dying" "kuoleva"
"air" "ilma"
"nigga" "musta mies (slangisana)"
"real" "todellinen"
"sure" "varma"
"nasty" "ilkeä"
"ask" "pyytää"
"give" "antaa"
"ig" "Instagram (lyhennetty versio)"
"double-tap" "tuplataputtaa (kaksoisnapauttaa)"
"dick" "kulli"
"caption" "kuvateksti"
"action" "toiminta"
"quickie" "pikapano"
"lick" "nuoleminen"
"started" "aloitettu"
"gaspin" "hengästyttävä"
"tongue" "kieli"
"goin" "menossa"
"imagine" "kuvitella"
"stick" "työntää"
"hair" "hiukset"
"frizzy" "takkuiset"
"crash" "törmäys"
"joking" "vitsaileminen"
"thinkin" "ajatteleva"
"irrational" "järjetön"
"speak" "puhua"
"truth" "totuus"
"gas" "kaasu"
"starving" "nälkäinen"
"pussy" "pillu"
"while" "aikana"
"yawning" "haukotteleminen"
"throat" "kurkku"
"until" "asti"
"coughing" "yskiä"
"single" "yksinäinen"
"coffin" "arkku"
"bend" "taipua"
"over" "yli"
"arch" "holvi/kaartaa"
"tap" "hana/naputtaa"
"shoulders" "hartiat"
"purr" "kehrätä"
"pussyll" "kissa"
"bite" "purema/purra"
"hype" "kohu/kiihottaa"
"man" "mies"
"doing" "tekeminen"
"pull" "vetää"
"panties" "alushousut"
"side" "sivu"
"movie" "elokuva"
"two" "kaksi"
"finished" "valmis"
"number" "numero"
"ready" "valmis"
"round" "pyöreä/kierros"
"dylan" "Dylan"
"brady" "Brady"
"putting" "laittaminen"
"makeup" "meikki"
"ways" "tavat"
"who" "kuka"
"told" "kertoi"
"laugh" "nauraa/nauru"
"mistakes" "virheet"
"toothache" "hammassärky"
"wake" "herätä"
"toothless" "hampaiton"
"til" "sijoitus"
"hits" "lyö"
"cry" "itkeä/itku"
"diamonds" "timantit"
"mining" "louhinta/louhinta"
"t-to" "sittenkin"
"em" "esi-isä"
"sittin" "istumaan"
"flight" "lento"
"thought" "ajatus/ajatella"
"comin" "tulemaan"
"realised" "tajuta"
"wrong" "väärin"
"jumping" "hyppääminen"
"both" "molemmat"
"help" "auttaa"
"immediately" "välittömästi"
"ba-back" "takaperin"
"g-g-g-g-g-gec" "hee-hee-hee-hee-hee-hee-hee"
"a-a-and" "ja"
"know-know-know" "tietää"
"me-me-me" "minä"
"me-me-me-me-me" "minä"
"together" "yhdessä"
"tried" "yrittää"
"dance" "tanssia/tanssi"
"choir" "kuoro"
"arm" "käsivarsi"
"lastly" "viimein"
"explain" "selittää"
"content" "sisältö"
"wait-" "odottaa"
"forget" "unohtaa"
"knew" "tiesi"
"speakers" "kaiuttimet"
"xbox" "Xbox"
"t-shirts" "t-paidat"
"under" "alapuolella"
"box" "laatikko"
"santa" "joulupukki"
"enemy" "vihollinen"
"being" "olento"
"jolly" "iloinen"
"naughty" "tuhma"
"settle" "asettua"
"score" "pistemäärä"
"fill" "täyttää"
"wishlist" "toivelista"
"mischief" "ilkikurisuus"
"grab" "tarttua"
"keys" "avaimet"
"headin" "mennä kohti"
"gave" "antoi"
"top" "katto"
"santas" "joulupukit"
"banging" "paukuttaminen"
"la-la-la-la-la" "laulu"
"la-la-la-la-la-la-la-la-la" "laulu"
"hes" "hän"
"watching" "katsova"
"tv" "tv"
"sleigh" "rekikärry"
"elves" "keijukaiset"
"kitchen" "keittiö"
"heard" "kuullut"
"ignition" "sytytys"
"our" "meidän"
"getaway" "pakomatka"
"chains" "ketjut"
"tires" "renkaat"
"behind" "takana"
"us" "meitä"
"screaming" "huutava"
"magic" "taika"
"boots" "saappaat"
"lead" "johtaa"
"feet" "jalat"
"chevy" "chevrolet"
"hundred-fifty" "sataviisikymmentä"
"dash" "viiva"
"gap" "aukko"
"jean" "farkut"
"jacket" "takki"
"t-shirt" "t-paita"
"underneath" "alla"
"boyfriend" "poikaystävä"
"beef" "naudanliha"
"disease" "tauti"
"cheese" "juusto"
"free" "vapaa"
"open" "avoin"
"creepy" "karmiva"
"dude" "kaveri"
"peg" "tappi"
"burnt-out" "loppuun palanut"
"sixty" "kuusikymmentä"
"sexy" "seksikäs"
"plus" "lisäksi"
"married" "naimisissa"
"godspeed" "jumalallinen nopeus"
"machines" "koneet"
"touch" "kosketus"
"type" "tyyppi"
"twisted" "vääristynyt"
"sweet" "makea"
"light" "valo"
"she" "hän"
"gifted" "lahjakas"
"reasons" "syitä"
"should" "pitäisi"
"freedoms" "vapauksia"
"living" "elävä"
"these" "nämä"
"catalyst" "katalyytti"
"converters" "muunnostekijät"
"bummers" "sälää"
"adjust" "säätää"
"preset" "esiasetettu"
"new-agey" "uusiaikainen"
"boomers" "babyboomerit"
"ugly" "ruma"
"around" "ympärillä"
"boy" "poika"
"ass" "perse"
"shagged" "väsyttänyt"
"kissed" "suudeltu"
"sheep" "lammas"
"jeep" "jeep"
"goat" "vuohi"
"boat" "vene"
"bird" "lintu"
"hog" "sika"
"damn" "hitto"
"means" "merkitsee"
"hurts" "sattuu"
"believe" "uskoa"
"i-i-i" "ei väriä"
"shows" "näyttää"
"mine" "minun"
"gettin" "saamassa"
"golden" "kultainen"
"axe" "kirves"
"shovel" "lapio"
"40" "neljäkymmentä"
"mag" "lehti"
"everybody" "kaikki"
"month" "kuukausi"
"havent" "en ole."
"sun" "aurinko"
"there" "tuolla"
"row" "rivi"
"singin" "laulaen"
"but-but-but" "mutta-mutta-mutta"
"mr" "herra"
"worldwide" "maailmanlaajuinen"
"international" "kansainvälinen"
"killa" "tappaja"
"100" "sata"
"gecs" "gecs (lyhenne)"
"tommy" "tommy (nimi)"
"bitch" "narttu"
"highest" "korkein"
"trippin" "matkaillen"
"mushrooms" "sienet"
"flyin" "lentäen"
"rooms" "huoneet"
"madman" "hullu"
"moon" "kuu"
"change" "muuttaa"
"view" "näkymä"
"bossin" "pomoilemassa"
"rules" "säännöt"
"school" "koulu"
"slowly" "hitaasti"
"gliding" "liukumassa"
"pure" "puhdas"
"cure" "parannuskeino"
"truest" "todenmukaisin"
"after" "jälkeen"
"pay-per-view" "maksulliset TV-kanavat"
"crew" "miehistö"
"ba-ba-ba-ba-baby" "vauva"
"death" "kuolema"
"life" "elämä"
"second" "toinen"
"path" "polku"
"moment" "hetki"
"art" "taide"
"dopest" "siistein"
"shooting" "ampuminen"
"star" "tähti"
"dead" "kuollut"
"chilling" "jäätävä"
"costume" "puku"
"girl" "tyttö"
"80" "kahdeksankymmentä"
"read" "lukea"
"fed" "ruokkia"
"die" "kuolla"
"thanks" "kiitokset"
"calling" "soittaminen"
"1-800-gec-2-u" "puhelinnumero "
"connect" "yhdistää"
"rock" "kallio"
"wet" "märkä"
"sighs" "huokailu"
"name" "nimi"
"pickin" "poimiminen"
"charge" "laskuttaa"
"card" "kortti"
"pay" "maksaa"
"fee" "maksu"
"close" "lähellä"
"almost" "melkein"
"hug" "halata"
"threw" "heitti"
"although" "vaikka"
"fake" "väärennetty"
"meet" "tavata"
"dorian" "doriaaninen"
"el-gec-tra" "elgektro"
"ayy" "aay"
"very" "erittäin"
"laura" "laura"
"les" "les"
"saying" "sanominen"
"though" "vaikka"
"blew" "puhalsi"
"trivial" "triviaali"
"video" "video"
"dunk" "korinalitus"
"reminisce" "muistella"
"songs" "laulut"
"wed" "vihkiä"
"hate" "vihata"
"trust" "luottamus"
"wish" "toivoa"
"whole" "kokonainen"
"lot" "paljon"
"matt" "matta"
"rope" "köysi"
"feeding" "ruokinta"
"doge" "koirajumala"
"dogs" "koirat"
"femur" "reisiluu"
"bone" "luu"
"break" "tauko"
"whip" "ruoska"
"scream" "huutaa"
"sticks" "kepit"
"ball" "pallo"
"team" "joukkue"
"gimme" "anna mulle"
"oil" "öljy"
"sheen" "hohto"
"keep" "säilytä"
"company" "yritys"
"brand" "brändi"
"leak" "vuotaa"
"loyalty" "uskollisuus"
"cut" "leikkaus"
"surgical" "kirurginen"
"rap" "rap-musiikki"
"nobody" "kukaan"
"racks" "hyllyt"
"bought" "ostettu"
"convertible" "muunnettava"
"ima" "aion"
"bundle" "nippu"
"interview" "haastattelu"
"raps" "rapit"
"mumble" "mumista"
"bs" "hölynpölyä"
"barbecue" "grilli"
"talked" "puhuneet"
"fresh" "raikas"
"fucks" "välität"
"spare" "varattu"
"lovin" "rakastaminen"
"hungry" "nälkäinen"
"cannot" "ei voi"
"phony" "teeskentelijä"
"ones" "ne"
"counting" "lasketaan"
"bless" "siunaus"
"line" "rivi"
"gon" "mennyt"
"messed" "sotkettu"
"road" "tie"
"moved" "siirretty"
"strongest" "vahvin"
"hello" "hei"
"potion" "juoma"
"seller" "myyjä"
"battle" "taistelu"
"potions" "juomat"
"strong" "vahva"
"traveller" "matkustaja"
"handle" "käsitellä/kahva"
"listen" "kuunnella"
"games" "pelit"
"sells" "myy"
"weaker" "heikompi"
"telling" "kertominen/kertova"
"don" "tehdä"
"asked" "kysytty"
"dragon" "lohikäärme"
"because" "koska"
"fit" "sopia (esim. vaatteet)/kunto"
"beast" "peto"
"won" "voittanut"
"successful" "menestyksekäs"
"positions" "asemat"
"beings" "olennot"
"weakest" "heikoin"
"ll" "tulevat (esim. you'll = you will)"
"elsewhere" "muualla"
"welcome" "toivottaa tervetulleeksi/tervetullut"
"clearly" "selkeästi"
"re" "uudelleen"
"rascal" "konna"
"respect" "kunnioittaa/kunnioitus"
"knights" "ritarit"
"except" "paitsi/mutta"
"minecraft" "minecraft"
"steve" "steve"
"grinding" "jauhaminen/jauhaa"
"motto" "elämäntehtävä"
"chest" "arkku"
"girlfriend" "tyttöystävä"
"sex" "seksi"
"pu-pu-pu-pu-pu-punchin" "nyrkkeilyä"
"w-w-w-w-w-with" "kanssa"
"bros" "kaverit"
"punchin" "nyrkkeilyä"
"nitemare" "painajainen"
"pack" "lauma"
"creepers" "ryömijät"
"tnt" "dynamite"
"turnt" "villi"
"everywhere" "kaikkialla"
"nether" "alamaailma"
"weather" "sää"
"bow" "jousi"
"arrows" "nuolet"
"feathers" "höyhenet"
"lava" "laava"
"ender" "loputon"
"pearls" "helmet"
"portal" "porttaali"
"r-r-r-r-raid" "ryntäys"
"village" "kylä"
"br-br-br" "jännittävää"
"uh" "huh"
"brewin" "keittelyä"
"finna" "löytää"
"seed" "siemen"
"grow" "kasvaa"
"creeper" "kiipijäkasvi"
"shawties" "pieni, houkutteleva nainen"
"dancin" "tanssiminen"
"wiener" "nakki"
"soul" "sielu"
"sand" "hiekka"
"movin" "liikkuminen"
"slow" "hidas"
"you-y-y-you" "sinä, juuri sinä"
"use" "käyttö"
"hoe" "talikko"
"i-i-i-i-ima" "minä"
"smack" "täsmälleen"
"hoes" "hölösuinen nainen"
"build" "rakentaminen"
"house" "koti"
"b-b-blowin" "puhaltaen"
"blow" "puhaltaa"
"phones" "puhelin"
"stomp" "tömistää"
"pose" "poseerata"
"omg" "voi hyvänen aika"
"bread" "leipä"
"steal" "varastaa"
"h-h-h-how" "kuinka"
"sword" "miekka"
"everythings" "kaikki"
"stay" "pysyä"
"low" "matala/matalalla"
"goal" "tavoite"
"smiled" "hymyili"
"numb" "tunnoton"
"asking" "kysymässä"
"25" "25"
"bands" "bändit"
"gecko" "gekko"
"pesto" "pestokastike"
"mans" "miehet"
"r-" "r-"
"guessed" "arvasi"
"diplo" "Diplo"
"did" "teki"
"woof" "woof"
"red" "punainen"
"bull" "härkä"
"saw" "näki"
"note" "huomio"
"shlohmo" "Shlohmo"
"com" "com"
"ride" "ajoi"
"problem" "ongelma"
"tomayto" "tomaatti"
"tomahto" "tomaatti"
"follow" "seurasi"
"hollow" "ontto"
"problems" "ongelmat"
"anywhere" "missä tahansa"
"blossom" "kukka"
"email" "sähköposti"
"cc" "kopio"
"solid" "järkähtämätön"
"greedy" "ahne"
"itchin" "kutittaa"
"profit" "voitto"
"cease" "lakata"
"desist" "lopeta"
"guap" "rahaa"
"neverless" "kuitenkin"
"squabble" "riidellä"
"blueprint" "suunnitelma"
"plot" "juoni"
"dig" "kaivaa"
"possum" "pesukarhu"
"yes-man" "myöntelijä"
"bible" "Raamattu"
"no-no" "kielletty asia"
"guy" "kaveri"
"dolo" "juoksu"
"ol" "olut"
"neat" "siisti"
"cocked" "sattumanvarainen"
"quarter" "neljäsosa"
"eight" "kahdeksikko"
"late" "myöhäinen"
"bring" "tuoda"
"plate" "lautanen"
"believer" "uskova"
"worst" "pahin"
"regretted" "pahoitteleva"
"hopeless" "toivoton"
"mosh" "puskea"
"listening" "kuunteleva"
"toxik" "myrkyllinen"
"band" "bändi"
"everybodys" "kaikkien"
"hands" "kädet"
"fallen" "kaatunut"
"standing" "seisova"
"crowd" "joukko"
"happened" "tapahtunut"
"seven-fifty-seven" "757 (tuhannenkympin huippunopeus)"
"heaven" "taivas"
"since" "jälkeen"
"eleven" "yksitoista"
"devil" "paholainen"
"lemon" "sitruuna"
"voices" "äänet"
"eighty" "kahdeksankymmentä"
"hurry" "kiire"
"la-di-da-di-da-di-da" "hymistellen"
"trees" "puut"
"drinkin" "juonut"
"bottles" "pulloja"
"subway" "maanalainen"
"takin" "ottanut"
"pictures" "kuvia"
"models" "malleja"
"stayin" "pysymään"
"deserving" "ansaitseva"
"less" "vähemmän/vähemmän kuin"
"harmful" "vahingollinen"
"exhale" "hengähtää"
"blunt" "tylsä/tehdä tylsäksi"
"shotgun" "haulikko"
"live" "elää"
"years" "vuodet"
"26" "26"
"learn" "oppia"
"tricks" "temput"
"ton" "tonni"
"bricks" "tiilet"
"dicks" "mulkut"
"anymore" "enää"
"deep" "syvä"
"throwing" "heittäminen"
"sidewalks" "jalkakäytävät"
"tightrope" "taljapuomi"
"d-d-d-do" "tee"
"sweater" "villapaita"
"start" "aloittaa"
"storm" "myrsky"
"sense" "järki/aistia"
"bliss" "autuus"
"ignorance" "tietämättömyys"
"anyway" "joka tapauksessa"
"takes" "ottaa"
"step" "askel/ottaa askeleita"
"closer" "lähempänä/lähempänä kuin"
"edge" "reuna,"
"breathe" "hengittää"
"ve" "veitsi"
"dirty" "likainen"
"tops" "huippu"
"brain" "aivot"
"tummy" "vatsa"
"turning" "kääntyminen"
"boulders" "järkäleet"
"clenching" "puristaminen"
"moving" "liikkuva"
"bitterness" "katkeruus"
"easier" "helpompi"
"alive" "elossa"
"breathing" "hengittäminen"
"dreams" "unelmat"
"reaching" "saavuttaminen"
"boring" "tylsä"
"torture" "kidutus"
"bleed" "vuotaa verta"
"sometimes" "joskus"
"works" "työt"
"sounded" "kuulosti"
"hatch" "kuoriutua"
"doors" "ovet"
"kind" "lämmin"
"smelly" "pahanhajuinen"
"smells" "hajut"
"anchovies" "anjovikset"
"ugh" "yäk"
"eugh" "huoh"
"zit" "finni"
"whens" "milloin"
"piercing" "lävistys"
"yack" "yök"
"hahahahahaha" "hahahahahaha"
"lazy" "laiska"
"clear" "selkeä"
"blue" "sininen"
"sky" "taivas"
"rains" "sataa"
"fees" "maksut"
"payment" "maksu"
"arrangement" "järjestely"
"news" "uutiset"
"statements" "lausunnot"
"malibu" "Malibu"
"comes" "tulee"
"tumbling" "pyöriminen"
"pitch" "kenttä"
"gives" "antaa"
"tiny" "pikkuruinen"
"hollywood" "Hollywood"
"mercedes" "Mercedes"
"crib" "lapsivuode"
"oh-oh" "ai-ai"
"whoa-oh" "jaujau"
"oh-oh-oh-oh-whoa-oh" "ai-ai-ai-ai-jaujau"
"buckle" "napsahtaa"
"pressure" "paine"
"telephone" "puhelin"
"walk" "kävellä"
"nobodys" "kukaan"
"seek" "etsiä"
"sheets" "lakanat"
"chasing" "jahtaa"
"anyways" "joka tapauksessa"
"share" "jakaa"
"toys" "lelut"
"communicate" "kommunikoida"
"date" "treffit"
